CPU_MEM_TOTAL: 394153280
CPUS_ON_NODE: 48
CPUS_ON_NODE: 48
REQUESTED_CPUS: 1
REQUESTED_CPUS: 1
REQUESTED_NODES 1
REQUESTED_NODES 1
NODE_NAME: c276
NODE_NAME: c276
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
195  0 349900 373463840   1720 5021128    2    2     7    23    0    0 48  4 47  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
193  0 349900 373463328   1720 5021128    2    2     7    23    0    0 48  4 47  1  0
191  0 349900 370718080   1720 5050432    0    0     0   850 46961 31554762 60 33  7  0  0
189  0 349900 370718080   1720 5050432    0    0     0   850 46936 31553371 60 33  7  0  0
167  0 349900 370714240   1720 5052224    0    0     0    51 46697 33064317 61 33  6  0  0
166  0 349900 370714240   1720 5052224    0    0     0    51 46729 33085309 61 33  6  0  0
167  0 349900 370713760   1720 5052232    0    0     0    77 46277 31038197 62 32  6  0  0
166  0 349900 370713760   1720 5052232    0    0     0    77 46273 31038340 62 32  6  0  0
86  0 349900 370697216   1720 5055652    0    0     0    50 45902 30485691 62 31  7  0  0
85  0 349900 370697216   1720 5055652    0    0     0    50 45902 30484981 62 31  7  0  0
160  0 349900 370543424   1720 5059008    0    0     0    51 45029 28496090 62 29  8  0  0
159  0 349900 370543424   1720 5059008    0    0     0    51 45029 28496411 62 29  8  0  0
134  0 349900 370539104   1720 5062400    0    0     0    73 46948 32382244 62 33  5  0  0
132  0 349900 370539104   1720 5062400    0    0     0    73 46948 32382371 62 33  5  0  0
190  0 349900 370535584   1720 5065760    0    0     0    48 46959 33668921 62 34  5  0  0
189  0 349900 370535584   1720 5065760    0    0     0    48 46959 33669236 62 34  5  0  0
163  0 349900 370531840   1720 5069116    0    0     0    50 46942 33250163 63 33  4  0  0
162  0 349900 370531840   1720 5069116    0    0     0    50 46942 33249997 63 33  4  0  0
195  0 349900 370527232   1720 5072472    0    0     0    58 47277 33112568 62 34  4  0  0
194  0 349900 370527232   1720 5072472    0    0     0    58 47277 33112887 62 34  4  0  0
139  0 349900 370523712   1720 5075836    0    0     0    52 47245 31022999 62 32  6  0  0
138  0 349900 370523712   1720 5075836    0    0     0    52 47245 31022330 62 32  6  0  0
166  0 349900 370519872   1720 5079192    0    0     0    49 47543 33074255 62 33  4  0  0
165  0 349900 370519872   1720 5079192    0    0     0    49 47543 33074401 62 33  4  0  0
167  0 349900 370516832   1720 5082548    0    0     0    51 47057 33303783 62 34  4  0  0
190  0 349900 370516832   1720 5082548    0    0     0    51 47057 33304187 62 34  4  0  0
168  0 349900 370513376   1720 5085932    0    0     0    49 47071 33651607 62 34  4  0  0
167  0 349900 370513376   1720 5085932    0    0     0    49 47071 33651348 62 34  4  0  0
190  0 349900 370572544   1720 5081884    0    0     0    50 46702 33048170 62 33  5  0  0
189  0 349900 370572544   1720 5081884    0    0     0    50 46702 33048301 62 33  5  0  0
166  0 349900 370570016   1720 5085228    0    0     0    59 47038 33014154 63 34  4  0  0
165  0 349900 370570016   1720 5085228    0    0     0    59 47038 33014254 63 34  4  0  0
113  0 349900 370566272   1720 5088568    0    0     0    51 46581 33652761 62 33  5  0  0
112  0 349900 370566272   1720 5088568    0    0     0    51 46581 33652098 62 33  5  0  0
193  0 349900 370562784   1720 5091912    0    0     0    24 47160 34730834 62 34  4  0  0
192  0 349900 370562784   1720 5091912    0    0     0    24 47159 34731474 62 34  4  0  0
163  0 349900 370559168   1720 5095256    0    0     0    72 46935 33266285 63 33  4  0  0
162  0 349900 370559168   1720 5095256    0    0     0    72 46935 33266292 63 33  4  0  0
139  0 349900 370555456   1720 5098032    0    0     0    52 46992 33414149 62 33  4  0  0
138  0 349900 370555456   1720 5098032    0    0     0    52 46992 33413578 62 33  4  0  0
194  0 349900 370553504   1720 5099804    0    0     0    50 46982 33970875 62 34  4  0  0
193  0 349900 370553504   1720 5099804    0    0     0    50 46982 33971140 62 34  4  0  0
190  0 349900 370549344   1720 5101960    0    0     0    55 46823 33871757 62 34  4  0  0
189  0 349900 370549344   1720 5101960    0    0     0    55 46823 33872156 62 34  4  0  0
190  0 349900 370545920   1720 5105340    0    0     0    50 46772 32333184 63 33  5  0  0
189  0 349900 370545920   1720 5105340    0    0     0    50 46772 32332888 63 33  5  0  0
190  0 349900 370557344   1720 5107332    0    0     0    50 46806 33115796 62 33  5  0  0
189  0 349900 370557344   1720 5107332    0    0     0    50 46806 33115919 62 33  5  0  0
140  0 349900 370553248   1720 5110672    0    0     0    52 47048 31121173 63 33  4  0  0
139  0 349900 370553248   1720 5110672    0    0     0    52 47048 31120836 63 33  4  0  0
190  0 349900 370548960   1720 5114016    0    0     0    49 46525 31519505 62 32  6  0  0
189  0 349900 370548960   1720 5114016    0    0     0    49 46525 31519879 62 32  6  0  0
112  0 349900 370548576   1720 5114016    0    0     0    50 46605 31366089 62 33  6  0  0
111  0 349900 370548576   1720 5114016    0    0     0    50 46605 31365401 62 33  6  0  0
139  0 349900 370488800   1720 5117664    0    0     0    73 42465 23857845 60 26 14  0  0
138  0 349900 370488800   1720 5117664    0    0     0    73 42465 23858205 60 26 14  0  0
112  0 349900 370339456   1720 5121820    0    0     0    53 40478 18520713 61 20 19  0  0
111  0 349900 370339456   1720 5121820    0    0     0    53 40478 18520497 61 20 19  0  0
193  0 349900 370235456   1720 5125468    0    0     0    49 41241 17896151 63 20 17  0  0
192  0 349900 370235456   1720 5125468    0    0     0    49 41241 17896490 63 20 17  0  0
167  0 349900 370232320   1720 5128844    0    0     0    54 44786 24683865 64 26 10  0  0
166  0 349900 370232320   1720 5128844    0    0     0    54 44786 24683914 64 26 10  0  0
166  0 349900 370228896   1720 5132016    0    0     0    49 44147 23953052 64 25 11  0  0
165  0 349900 370228896   1720 5132016    0    0     0    49 44147 23952956 64 25 11  0  0
112  0 349900 370147008   1720 5135356    0    0     0    50 43033 22227635 63 23 13  0  0
111  0 349900 370147008   1720 5135356    0    0     0    50 43033 22227386 63 23 13  0  0
109  0 349900 369923872   1720 5138700    0    0     0    66 40183 17917000 61 20 19  0  0
108  0 349900 369923872   1720 5138700    0    0     0    66 40183 17917037 61 20 19  0  0
85  0 349900 369604032   1720 5140760    0    0     0    50 38230 13934306 60 16 23  0  0
84  0 349900 369604032   1720 5140760    0    0     0    50 38230 13933989 60 16 23  0  0
84  0 349900 371517024   1720 4867308    0    0     0   102 43245 10919270 59 14 28  0  0
82  0 349900 371517504   1720 4867308    0    0     0   102 43246 10919210 59 14 28  0  0
82  0 349900 371717312   1720 4808512    0    0     0    44 37534 10507114 57 12 31  0  0
81  0 349900 371717312   1720 4808512    0    0     0    44 37533 10507250 57 12 31  0  0
82  0 349900 372835200   1720 4635092    0    0     0    66 38786 10744927 56 12 32  0  0
81  0 349900 372835200   1720 4635092    0    0     0    66 38786 10744826 56 12 32  0  0
86  0 349900 373281856   1720 4471380    0    0     0   482 63166 11192982 61 13 25  0  0
85  0 349900 373281856   1720 4471380    0    0     0   483 63167 11193101 61 13 25  0  0
96  0 349900 372662272   1720 4486604    0    0     0   471 55209 11540093 61 13 26  0  0
95  0 349900 372662272   1720 4486604    0    0     0   469 55209 11540076 61 13 26  0  0
58  0 349900 372256128   1720 4528388    0    0     0  1928 53721 11630971 62 13 26  0  0
57  0 349900 372256128   1720 4528388    0    0     0  1928 53719 11630737 62 13 26  0  0
88  0 349900 372328160   1720 4525360    0    0     0  2659 47203 11805698 60 12 28  0  0
87  0 349900 372328160   1720 4525360    0    0     0  2659 47202 11805782 60 12 28  0  0
58  0 349900 372352608   1720 4541952    0    0     0  3084 55319 11614788 63 12 25  0  0
57  0 349900 372352608   1720 4541952    0    0     0  3084 55319 11614757 63 12 25  0  0
57  0 349900 372080384   1720 4575592    0    0     0  2524 53733 11175203 63 12 25  0  0
56  0 349900 372080384   1720 4575592    0    0     0  2524 53733 11175151 63 12 25  0  0
64  0 349900 372041728   1720 4596776    0    0     0  1699 52489 10406214 62 11 27  0  0
63  0 349900 372041728   1720 4596776    0    0     0  1699 52489 10406210 62 11 27  0  0
