CPU_MEM_TOTAL: 394153288
CPUS_ON_NODE: 48
CPUS_ON_NODE: 48
REQUESTED_CPUS: 8
REQUESTED_CPUS: 8
REQUESTED_NODES 1
REQUESTED_NODES 1
NODE_NAME: c446
NODE_NAME: c446
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 116692 378077792   5244 7662924    1    2     2     6    0    0 46  2 52  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 116692 378077504   5244 7662924    1    2     2     6    0    0 46  2 52  0  0
 0  7 116692 378020736   5244 7705452    0    0     0     7 2626 10127  0  0 89 10  0
 0  7 116692 378020736   5244 7705452    0    0     0     7 2621 10107  0  0 89 10  0
 0  7 116692 362585216   5244 7814980    0    0     0   822 6744 16875  3  2 86  9  0
 0  7 116692 362585216   5244 7814980    0    0     0   822 6744 16875  3  2 86  9  0
 8  0 116692 355344064   5244 7816468    0    0     0    28 8668 1476 14  1 83  1  0
 8  0 116692 355344064   5244 7816468    0    0     0    28 8669 1476 14  1 83  1  0
 8  0 116692 355342176   5244 7816472    0    0     0     0 8804  632 17  0 83  0  0
 8  0 116692 355342176   5244 7816472    0    0     0     0 8804  632 17  0 83  0  0
 8  0 116692 355342464   5244 7816472    0    0     0     0 8761  579 17  0 83  0  0
 8  0 116692 355342464   5244 7816472    0    0     0     0 8762  579 17  0 83  0  0
 8  0 116692 355342304   5244 7816480    0    0     0    47 8826  633 17  0 83  0  0
 8  0 116692 355342304   5244 7816480    0    0     0    47 8826  633 17  0 83  0  0
 8  0 116692 348299200   5244 7818320    0    0     0     0 8315  642 15  1 83  1  0
 8  0 116692 348299200   5244 7818320    0    0     0     0 8315  642 15  1 83  1  0
 8  0 116692 355336352   5244 7818324    0    0     0     0 8713  564 17  0 83  0  0
 8  0 116692 355336352   5244 7818324    0    0     0     0 8712  564 17  0 83  0  0
 8  0 116692 355336320   5244 7818324    0    0     0     7 8864  768 17  0 83  0  0
 8  0 116692 355336320   5244 7818324    0    0     0     7 8865  768 17  0 83  0  0
