CPU_MEM_TOTAL: 394153272
CPUS_ON_NODE: 48
CPUS_ON_NODE: 48
REQUESTED_CPUS: 8
REQUESTED_CPUS: 8
REQUESTED_NODES 1
REQUESTED_NODES 1
NODE_NAME: c590
NODE_NAME: c590
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0  11740 381020672   5336 5888928    0    0     0     1    0    0 55  1 44  0  0
 2  0  11740 381020672   5336 5888928    0    0     0     1    0    0 55  1 44  0  0
 2  7  11740 380432896   5336 5984712    0    0     0    17 5729 22968  0  1 90  9  0
 2  7  11740 380432896   5336 5984712    0    0     0    17 5729 22965  0  1 90  9  0
 9  0  11740 358295968   5336 6042824    0    0     0   822 7212 4865  9  2 84  5  0
 9  0  11740 358295968   5336 6042824    0    0     0   822 7211 4865  9  2 84  5  0
 8  0  11740 358287264   5336 6042828    0    0     0     0 8923 1652 16  0 83  0  0
 8  0  11740 358287264   5336 6042828    0    0     0     0 8924 1652 16  0 83  0  0
 9  0  11740 358287552   5336 6042828    0    0     0    42 8521  618 17  0 83  0  0
 8  0  11740 358287552   5336 6042828    0    0     0    42 8527  619 17  0 83  0  0
 9  0  11740 358287808   5336 6042828    0    0     0     0 8541  597 17  0 83  0  0
 8  0  11740 358287808   5336 6042828    0    0     0     0 8548  598 17  0 83  0  0
 8  0  11740 358287616   5336 6042828    0    0     0     0 8559  624 17  0 83  0  0
 8  0  11740 358287616   5336 6042828    0    0     0     0 8565  625 17  0 83  0  0
 8  0  11740 358281664   5336 6044672    0    0     0    17 8227  645 15  1 83  1  0
 8  0  11740 358281664   5336 6044672    0    0     0    17 8228  644 15  1 83  1  0
 8  0  11740 358281760   5336 6044672    0    0     0     0 8510  562 17  0 83  0  0
 8  0  11740 358281760   5336 6044672    0    0     0     0 8510  562 17  0 83  0  0
 8  0  11740 358281664   5336 6044680    0    0     0     0 8647  652 17  0 83  0  0
 8  0  11740 358281664   5336 6044680    0    0     0     0 8647  651 17  0 83  0  0
 8  0  11740 358281760   5336 6044680    0    0     0     3 8514  550 17  0 83  0  0
 8  0  11740 358281760   5336 6044680    0    0     0     3 8514  549 17  0 83  0  0
 8  0  11740 358281216   5336 6044680    0    0     0     0 8693  562 16  1 83  0  0
 8  0  11740 358281216   5336 6044680    0    0     0     0 8688  562 16  1 83  0  0
 8  0  11740 358281120   5336 6044680    0    0     0     0 8626  584 17  0 83  0  0
 8  0  11740 358281120   5336 6044680    0    0     0     0 8626  584 17  0 83  0  0
 8  0  11740 358281184   5336 6044676    0    0     0     9 8518  555 17  0 83  0  0
 8  0  11740 358281184   5336 6044676    0    0     0     9 8518  554 17  0 83  0  0
 8  0  11740 358281184   5336 6044676    0    0     0     0 8516  569 17  0 83  0  0
 8  0  11740 358281184   5336 6044676    0    0     0     0 8516  570 17  0 83  0  0
 9  0  11740 358273536   5336 6047992    0    0     0     0 8768  671 15  1 83  0  0
 8  0  11740 358273536   5336 6047992    0    0     0     0 8768  672 15  1 83  0  0
 8  0  11740 358270048   5336 6051288    0    0     0     1 8690  636 16  0 83  0  0
 8  0  11740 358270048   5336 6051288    0    0     0     1 8693  636 16  0 83  0  0
 8  0  11740 358267616   5336 6053528    0    0     0     0 8671  600 17  0 83  0  0
 8  0  11740 358267616   5336 6053528    0    0     0     0 8678  601 17  0 83  0  0
 8  0  11740 358266720   5336 6054640    0    0     0     4 8691  671 17  0 83  0  0
 8  0  11740 358266720   5336 6054640    0    0     0     4 8695  670 17  0 83  0  0
 8  0  11740 358263232   5336 6057940    0    0     0     8 8522  643 16  0 83  0  0
 8  0  11740 358263232   5336 6057940    0    0     0     8 8528  645 16  0 83  0  0
 8  0  11740 358259648   5336 6061252    0    0     0     0 8551  662 17  0 83  0  0
 8  0  11740 358259648   5336 6061252    0    0     0     0 8556  662 17  0 83  0  0
 8  0  11740 358255904   5336 6064556    0    0     0     0 8751  737 16  0 83  0  0
 8  0  11740 358255904   5336 6064556    0    0     0     0 8757  737 16  0 83  0  0
 8  0  11740 358252384   5336 6067892    0    0     0    10 8732  660 16  0 83  0  0
 8  0  11740 358252384   5336 6067892    0    0     0    10 8734  661 16  0 83  0  0
 9  0  11740 358248864   5336 6071192    0    0     0     0 8694  660 17  0 83  0  0
