CPU_MEM_TOTAL: 394153300
CPUS_ON_NODE: 48
CPUS_ON_NODE: 48
REQUESTED_CPUS: 8
REQUESTED_CPUS: 8
REQUESTED_NODES 1
REQUESTED_NODES 1
NODE_NAME: c231
NODE_NAME: c231
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  47432 350544800     56 35335056    0    0     1     5    0    0 48  1 51  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  47432 350544800     56 35335056    0    0     1     5    0    0 48  1 51  0  0
 8  0  47432 327862688     56 35442764    0    0     0     2 8656 14416  5  3 85  7  0
 8  0  47432 327862688     56 35442764    0    0     0     2 8649 14383  5  3 85  7  0
 8  0  47432 327852864     56 35444068    0    0     0     1 9876 4618 15  0 84  1  0
 8  0  47432 327852864     56 35444068    0    0     0     1 9876 4618 15  0 84  1  0
 9  0  47432 327853440     56 35444068    0    0     0    22 8779  605 17  0 83  0  0
 8  0  47432 327853440     56 35444068    0    0     0    22 8781  606 17  0 83  0  0
 8  0  47432 327853600     56 35444068    0    0     0   828 8750  619 17  0 83  0  0
 8  0  47432 327853600     56 35444068    0    0     0   828 8750  619 17  0 83  0  0
 8  0  47432 327853568     56 35444068    0    0     0     0 8981 1019 17  0 83  0  0
 8  0  47432 327853568     56 35444068    0    0     0     0 8981 1019 17  0 83  0  0
 9  0  47432 327847616     56 35445944    0    0     0    26 8325  679 15  1 83  1  0
 8  0  47432 327847616     56 35445944    0    0     0    26 8325  679 15  1 83  1  0
 8  0  47432 327847552     56 35445944    0    0     0     0 8765  586 17  0 83  0  0
 8  0  47432 327847552     56 35445944    0    0     0     0 8765  586 17  0 83  0  0
 8  0  47432 327847904     56 35445876    0    0     0     0 8814  638 17  0 83  0  0
 8  0  47432 327847904     56 35445876    0    0     0     0 8814  638 17  0 83  0  0
 8  0  47432 327847776     56 35445876    0    0     0    16 8771  609 17  0 83  0  0
 8  0  47432 327847776     56 35445876    0    0     0    16 8771  609 17  0 83  0  0
 8  0  47432 327846208     56 35445876    0    0     0     0 8835  595 16  1 83  0  0
 8  0  47432 327846208     56 35445876    0    0     0     0 8835  595 16  1 83  0  0
 8  0  47432 327846784     56 35445876    0    0     0     1 9020 1034 17  0 83  0  0
 9  0  47432 327846784     56 35445876    0    0     0     1 9020 1034 17  0 83  0  0
 8  0  47432 327846976     56 35445876    0    0     0     1 8768  587 17  0 83  0  0
 8  0  47432 327846976     56 35445876    0    0     0     1 8768  587 17  0 83  0  0
 8  0  47432 327846976     56 35445876    0    0     0     0 8744  595 17  0 83  0  0
 8  0  47432 327846976     56 35445876    0    0     0     0 8744  595 17  0 83  0  0
 8  0  47432 327845408     56 35447076    0    0     0     0 8621  626 16  1 83  0  0
 8  0  47432 327845408     56 35447076    0    0     0     0 8621  626 16  1 83  0  0
 8  0  47432 327843168     56 35449296    0    0     0     6 8703  672 16  0 83  0  0
 8  0  47432 327843168     56 35449296    0    0     0     6 8708  673 16  0 83  0  0
 8  0  47432 327839584     56 35452660    0    0     0     0 8784  674 16  0 83  0  0
 8  0  47432 327839584     56 35452660    0    0     0     0 8791  674 16  0 83  0  0
 8  0  47432 327836160     56 35456032    0    0     0     0 9015 1102 17  0 83  0  0
 8  0  47432 327836160     56 35456032    0    0     0     0 9014 1102 17  0 83  0  0
 9  0  47432 327832320     56 35459400    0    0     0     2 8709  673 16  0 83  0  0
 8  0  47432 327832320     56 35459400    0    0     0     2 8705  672 16  0 83  0  0
 8  0  47432 327828576     56 35462784    0    0     0     0 8558  673 17  0 83  0  0
 9  0  47432 327828576     56 35462784    0    0     0     0 8552  672 17  0 83  0  0
 9  0  47432 327824832     56 35466152    0    0     0     1 8587  702 17  0 83  0  0
 8  0  47432 327824832     56 35466152    0    0     0     1 8593  703 17  0 83  0  0
 8  0  47432 327821280     56 35469524    0    0     0     6 8530  679 17  0 83  0  0
 8  0  47432 327821280     56 35469524    0    0     0     6 8530  678 17  0 83  0  0
 8  0  47432 327815744     56 35472924    0    0     0     0 8552  656 16  0 83  0  0
 8  0  47432 327815744     56 35472924    0    0     0     0 8552  656 16  0 83  0  0
 8  0  47432 327813760     56 35475220    0    0     0     0 8762 1098 17  0 83  0  0
 8  0  47432 327813760     56 35475220    0    0     0     0 8763 1098 17  0 83  0  0
 8  0  47432 327812608     56 35476308    0    0     0     5 8532  627 17  0 83  0  0
 8  0  47432 327812608     56 35476308    0    0     0     5 8532  626 17  0 83  0  0
 8  0  47432 327809120     56 35479680    0    0     0     0 8561  673 17  0 83  0  0
 8  0  47432 327809120     56 35479680    0    0     0     0 8558  673 17  0 83  0  0
 8  0  47432 327809312     56 35479688    0    0     0     0 8663  671 17  0 83  0  0
 8  0  47432 327809312     56 35479688    0    0     0     0 8663  671 17  0 83  0  0
 8  0  47432 327809536     56 35479688    0    0     0     6 8796  606 17  0 83  0  0
 8  0  47432 327809536     56 35479688    0    0     0     6 8796  606 17  0 83  0  0
 9  0  47432 327809440     56 35479688    0    0     0     0 8761  591 17  0 83  0  0
 8  0  47432 327809440     56 35479688    0    0     0     0 8765  593 17  0 83  0  0
 8  0  47432 320765952     56 35479688    0    0     0     2 9663 4275 16  1 83  0  0
 9  0  47432 320765952     56 35479688    0    0     0     2 9662 4274 16  1 83  0  0
 8  0  47432 327803040     56 35479688    0    0     0     1 8741  605 17  0 83  0  0
 8  0  47432 327803040     56 35479688    0    0     0     1 8741  605 17  0 83  0  0
 8  0  47432 327803040     56 35479688    0    0     0     0 8756  595 17  0 83  0  0
 8  0  47432 327803040     56 35479688    0    0     0     0 8757  595 17  0 83  0  0
 9  0  47432 327803264     56 35479688    0    0     0     0 8809  629 17  0 83  0  0
 9  0  47432 327803264     56 35479688    0    0     0     0 8805  628 17  0 83  0  0
 8  0  47432 320765952     56 35479688    0    0     0    10 8774  615 16  1 83  0  0
 8  0  47432 320765952     56 35479688    0    0     0    10 8784  616 16  1 83  0  0
 8  0  47432 327802880     56 35479688    0    0     0     0 8760  594 17  0 83  0  0
 8  0  47432 327802880     56 35479688    0    0     0     0 8761  594 17  0 83  0  0
 8  0  47432 327803360     56 35479692    0    0     0     0 8991 1026 17  0 83  0  0
 8  0  47432 327803360     56 35479692    0    0     0     0 8990 1026 17  0 83  0  0
 8  0  47432 327803424     56 35479692    0    0     0     8 8740  589 17  0 83  0  0
 8  0  47432 327803424     56 35479692    0    0     0     8 8740  590 17  0 83  0  0
 8  0  47432 320766304     56 35479692    0    0     0     0 8757  598 16  1 83  0  0
 9  0  47432 320766304     56 35479692    0    0     0     0 8758  598 16  1 83  0  0
 8  0  47432 327799424     56 35483060    0    0     0     1 8877  665 16  1 83  0  0
 8  0  47432 327799424     56 35483060    0    0     0     1 8877  665 16  1 83  0  0
 8  0  47432 327813248     56 35469968    0    0     0     6 8781  677 17  0 83  0  0
 8  0  47432 327813248     56 35469968    0    0     0     6 8782  678 17  0 83  0  0
25  0  47432 326615552     56 36152632    0    0     0     1 21219 27259 20  1 78  1  0
25  0  47432 326615520     56 36152632    0    0     0     1 21254 27295 20  1 78  1  0
24  0  47432 325547968     56 37117548    0    0     0     0 43557 97680 32  3 64  1  0
26  0  47432 325544064     56 37117548    0    0     0     0 43583 97756 32  3 64  1  0
18  0  47432 324547008     56 38095136    0    0     0    21 51735 117937 37  3 59  0  0
26  0  47432 324496960     56 38139992    0    0     0    21 51711 117836 37  3 59  0  0
10  0  47432 324336960     56 38470220    0    0     0     8 50251 112094 38  3 59  0  0
19  0  47432 324465536     56 38470220    0    0     0     8 50292 112298 38  3 59  0  0
25  0  47432 324015264     56 38738996    0    0     0    90 51566 99013 37  3 60  0  0
29  0  47432 323928128     56 38738996    0    0     0    90 51565 98852 37  3 60  0  0
12  0  47432 324108160     56 38807716    0    0     0    88 52177 103245 37  3 60  0  0
18  0  47432 323963808     56 38808292    0    0     0    88 52213 103386 37  3 60  0  0
 9  0  47432 323747296     56 39241280    0    0     0     0 41537 75041 26  3 71  0  0
 9  0  47432 323747168     56 39241784    0    0     0     0 41452 74884 26  3 71  0  0
10  0  47432 323296256     56 39646192    0    0     0   111 41755 79853 17  3 80  0  0
11  0  47432 323296704     56 39646192    0    0     0   111 41781 79912 17  3 80  0  0
10  0  47432 322927424     56 39989124    0    0     0   103 46104 82845 17  3 80  0  0
 9  0  47432 322927488     56 39989124    0    0     0   103 46113 82832 17  3 80  0  0
10  0  47432 322646272     56 40249780    0    0     0     1 44257 81352 17  3 79  0  0
11  0  47432 322647008     56 40249780    0    0     0     1 44248 81396 17  3 79  0  0
10  0  47432 322204160     56 40663352    0    0     0   193 46109 87942 18  3 79  0  0
12  0  47432 322203648     56 40663352    0    0     0   193 46072 87865 18  3 79  0  0
11  0  47432 321950304     56 40897976    0    0     0    41 47814 90080 18  3 80  0  0
10  0  47432 321950304     56 40897976    0    0     0    41 47848 90133 18  3 80  0  0
10  0  47432 321777792     56 41059464    0    0     0     0 44243 81915 18  3 79  0  0
10  0  47432 321777792     56 41059464    0    0     0     0 44266 81932 18  3 79  0  0
14  0  47432 321630528     56 41130736    0    0     0   192 49073 102691 17  5 78  0  0
14  0  47432 321632288     56 41130736    0    0     0   192 49067 102717 17  5 78  0  0
15  0  47432 321558464     56 41200108    0    0     0   221 72634 202753 19  9 72  0  0
13  0  47432 321559264     56 41200108    0    0     0   221 72678 202851 19  9 72  0  0
14  0  47432 321105152     56 41621436    0    0     0   233 74201 186890 19  8 72  0  0
14  0  47432 321099648     56 41623956    0    0     0   233 74204 186915 19  8 72  0  0
