CPU_MEM_TOTAL: 394153260
CPUS_ON_NODE: 48
CPUS_ON_NODE: 48
REQUESTED_CPUS: 8
REQUESTED_CPUS: 8
REQUESTED_NODES 1
REQUESTED_NODES 1
NODE_NAME: c696
NODE_NAME: c696
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
10  0   5964 378828544   5060 6211028    0    0     1     2    0    0 35  1 63  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   5964 378828896   5060 6211068    0    0     1     2    0    0 35  1 63  0  0
 8  7   5964 378237760   5060 6307776    0    0     0   975 14693 24709 17  1 72 10  0
 8  7   5964 378237760   5060 6307776    0    0     0   975 14690 24702 17  1 72 10  0
17  0   5964 356092416   5060 6370776    0    0     0     0 15418 3909 26  2 68  5  0
17  0   5964 356092416   5060 6370776    0    0     0     0 15418 3909 26  2 68  5  0
16  0   5964 356085120   5060 6370772    0    0     0 12457 17024 1136 33  0 67  0  0
16  0   5964 356085120   5060 6370772    0    0     0 12457 17042 1137 33  0 67  0  0
 9  0   5964 356109280   5060 6345120    0    0     0    36 16267  657 32  0 68  0  0
 9  0   5964 356109280   5060 6345120    0    0     0    36 16260  657 32  0 68  0  0
16  0   5964 356107264   5060 6345116    0    0     0     0 16430  640 32  0 67  0  0
16  0   5964 356107264   5060 6345116    0    0     0     0 16429  639 32  0 67  0  0
17  0   5964 356107168   5060 6345116    0    0     0     0 16845  652 33  0 67  0  0
16  0   5964 356107168   5060 6345116    0    0     0     0 16842  652 33  0 67  0  0
16  0   5964 356099136   5060 6346952    0    0     0    28 15095  675 29  1 67  3  0
16  0   5964 356099136   5060 6346952    0    0     0    28 15095  675 29  1 67  3  0
16  0   5964 356098976   5060 6346952    0    0     0     0 16725  525 33  0 67  0  0
16  0   5964 356098976   5060 6346952    0    0     0     0 16730  525 33  0 67  0  0
16  0   5964 356098848   5060 6346960    0    0     0     2 16878  842 33  0 67  0  0
16  0   5964 356098848   5060 6346960    0    0     0     2 16890  844 33  0 67  0  0
16  0   5964 356098912   5060 6346956    0    0     0     2 16762  553 33  0 67  0  0
16  0   5964 356098912   5060 6346956    0    0     0     2 16774  553 33  0 67  0  0
16  0   5964 356098336   5060 6346960    0    0     0     0 16719  559 32  1 67  0  0
16  0   5964 356098336   5060 6346960    0    0     0     0 16730  558 32  1 67  0  0
16  0   5964 356098560   5060 6346960    0    0     0   966 16740  578 33  0 67  0  0
16  0   5964 356098560   5060 6346960    0    0     0   966 16752  578 33  0 67  0  0
16  0   5964 356098464   5060 6346960    0    0     0    10 16727  562 33  0 67  0  0
16  0   5964 356098464   5060 6346960    0    0     0    10 16727  561 33  0 67  0  0
16  0   5964 356087520   5060 6351760    0    0     0     0 16695  596 33  0 67  0  0
16  0   5964 356087520   5060 6351760    0    0     0     0 16696  596 33  0 67  0  0
16  0   5964 356085920   5060 6351760    0    0     0 11630 16931 1021 32  1 67  0  0
16  0   5964 356085920   5060 6351760    0    0     0 11630 16930 1021 32  1 67  0  0
17  0   5964 356078624   5060 6355020    0    0     0     1 15840  637 31  1 69  0  0
16  0   5964 356078624   5060 6355020    0    0     0     1 15841  637 31  1 69  0  0
16  0   5964 356075168   5060 6358260    0    0     0     0 16696  619 33  0 67  0  0
16  0   5964 356075168   5060 6358260    0    0     0     0 16696  620 33  0 67  0  0
16  0   5964 356071456   5060 6361512    0    0     0     1 16775  643 33  0 67  0  0
16  0   5964 356071488   5060 6361512    0    0     0     1 16778  644 33  0 67  0  0
16  0   5964 356068448   5060 6364756    0    0     0     9 16906  662 33  0 67  0  0
17  0   5964 356068448   5060 6364756    0    0     0     9 16904  660 33  0 67  0  0
16  0   5964 356065152   5060 6368000    0    0     0     0 16850  668 33  0 67  0  0
16  0   5964 356065152   5060 6368000    0    0     0     0 16850  668 33  0 67  0  0
16  0   5964 356062176   5060 6371248    0    0     0     0 16939  922 33  0 67  0  0
16  0   5964 356062176   5060 6371248    0    0     0     0 16942  923 33  0 67  0  0
16  0   5964 356058656   5060 6374492    0    0     0     6 16821  662 33  0 67  0  0
16  0   5964 356058656   5060 6374492    0    0     0     6 16800  662 33  0 67  0  0
