CPU_MEM_TOTAL: 394153288
CPUS_ON_NODE: 48
CPUS_ON_NODE: 48
REQUESTED_CPUS: 8
REQUESTED_CPUS: 8
REQUESTED_NODES 1
REQUESTED_NODES 1
NODE_NAME: c013
NODE_NAME: c013
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  40292 378162688   5240 7871580    0    0     1     2    0    0 46  1 53  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  40292 378162688   5240 7871580    0    0     1     2    0    0 46  1 53  0  0
 3  0  40292 378065152   5240 7926428    0    0    29    12 4138 16605  0  0 90  9  0
 2  0  40292 378065152   5240 7926428    0    0    29    12 4135 16617  0  0 90  9  0
 0  0  40292 377757888   5240 7927868    0    0     0   820 1506 5003  0  0 99  0  0
 0  0  40292 377757888   5240 7927868    0    0     0   820 1498 4950  0  0 99  0  0
 0  0  40292 377758720   5240 7927868    0    0     0     0  234  414  0  0 100  0  0
 0  0  40292 377758720   5240 7927868    0    0     0     0  234  414  0  0 100  0  0
 0  0  40292 377758976   5240 7927868    0    0     0    51  226  432  0  0 100  0  0
 0  0  40292 377758976   5240 7927868    0    0     0    51  226  432  0  0 100  0  0
 1  0  40292 377759168   5240 7927868    0    0     0     0  372  701  0  0 100  0  0
 0  0  40292 377759168   5240 7927868    0    0     0     0  372  701  0  0 100  0  0
 0  0  40292 377759360   5240 7927832    0    0     0     0  254  477  0  0 100  0  0
 0  0  40292 377759360   5240 7927832    0    0     0     0  254  476  0  0 100  0  0
 1  0  40292 377866592   5240 7823884    0    0     0    11  403  546  0  0 100  0  0
 1  0  40292 377872128   5240 7817836    0    0     0    11  403  546  0  0 100  0  0
 0  0  40292 377894912   5240 7796064    0    0     0     1  287  420  0  0 100  0  0
 0  0  40292 377894912   5240 7796064    0    0     0     1  287  420  0  0 100  0  0
 0  0  40292 377895008   5240 7796064    0    0     0     0  216  400  0  0 100  0  0
 0  0  40292 377895008   5240 7796064    0    0     0     0  216  400  0  0 100  0  0
 0  0  40292 377895168   5240 7796032    0    0     0     6  211  381  0  0 100  0  0
 1  0  40292 377895168   5240 7796032    0    0     0     6  211  381  0  0 100  0  0
 0  0  40292 377895616   5240 7796028    0    0     0     0  371  706  0  0 100  0  0
 0  0  40292 377895616   5240 7796028    0    0     0     0  370  707  0  0 100  0  0
