CPU_MEM_TOTAL: 394153288
CPUS_ON_NODE: 48
CPUS_ON_NODE: 48
REQUESTED_CPUS: 8
REQUESTED_CPUS: 8
REQUESTED_NODES 1
REQUESTED_NODES 1
NODE_NAME: c013
NODE_NAME: c013
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  40292 378248832   5240 7787780    0    0     1     2    0    0 46  1 53  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  40292 378248832   5240 7787780    0    0     1     2    0    0 46  1 53  0  0
 0  7  40292 355574656   5240 7894868    0    0     0   834 7523 13152  4  3 86  8  0
 0  7  40292 355574656   5240 7894868    0    0     0   834 7519 13137  4  3 86  8  0
 8  0  40292 355565728   5240 7896628    0    0     0    13 9558 6011 12  1 84  3  0
 9  0  40292 355565728   5240 7896628    0    0     0    13 9559 6011 12  1 84  3  0
 8  0  40292 355563744   5240 7896496    0    0     0     0 8849  936 17  0 83  0  0
 8  0  40292 355563744   5240 7896496    0    0     0     0 8849  936 17  0 83  0  0
 9  0  40292 355564160   5240 7896496    0    0     0     2 8709  598 17  0 83  0  0
 8  0  40292 355564160   5240 7896496    0    0     0     2 8710  598 17  0 83  0  0
 8  0  40292 355564256   5240 7896496    0    0     0    29 8741  609 17  0 83  0  0
 8  0  40292 355564256   5240 7896496    0    0     0    29 8746  610 17  0 83  0  0
 8  0  40292 348521632   5240 7898356    0    0     0     0 8414  723 15  1 83  1  0
 8  0  40292 348521632   5240 7898356    0    0     0     0 8415  722 15  1 83  1  0
 9  0  40292 355558624   5240 7898364    0    0     0     0 8660  594 17  0 83  0  0
 8  0  40292 355558624   5240 7898364    0    0     0     0 8661  595 17  0 83  0  0
 9  0  40292 355558656   5240 7898364    0    0     0     0 8634  605 17  0 83  0  0
 8  0  40292 355558656   5240 7898364    0    0     0     0 8633  605 17  0 83  0  0
 8  0  40292 355558368   5240 7898364    0    0     0     8 8902  882 17  0 83  0  0
 8  0  40292 355558368   5240 7898364    0    0     0     8 8903  882 17  0 83  0  0
 8  0  40292 348520864   5240 7898364    0    0     0     0 8631  606 16  1 83  0  0
 8  0  40292 348520864   5240 7898364    0    0     0     0 8628  605 16  1 83  0  0
